Botanical Name,Street,Latitude,Longitude
CARYA SPP,PARK AVE SOUTH,42.82775266,-78.82863564
QUERCUS RUBRA,PARK AVE SOUTH,42.82775458,-78.82765675
VACANT,PARK AVE SOUTH,42.82776363,-78.83369249
VACANT,PARK AVE SOUTH,42.82776379,-78.83369134
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82777283,-78.8337993
QUERCUS RUBRA,PARK AVE SOUTH,42.82777532,-78.82815017
CRATAEGUS SPP,PARK AVE SOUTH,42.8277759,-78.82897507
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82778784,-78.83223689
QUERCUS BICOLOR,PARK AVE SOUTH,42.82779444,-78.82444389
QUERCUS RUBRA,PARK AVE SOUTH,42.82779683,-78.82807126
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82780075,-78.83234896
VACANT,PARK AVE SOUTH,42.82782186,-78.83367804
VACANT,PARK AVE SOUTH,42.82782187,-78.83367802
FAGUS SYLVATICA,PARK AVE SOUTH,42.82783084,-78.82760505
GINKGO BILOBA,PARK AVE SOUTH,42.82783178,-78.83347592
VACANT,PARK AVE SOUTH,42.82784143,-78.83370476
VACANT,PARK AVE SOUTH,42.82784153,-78.8337043
FAGUS SYLVATICA,PARK AVE SOUTH,42.8278453,-78.82795408
RHAMNUS CATHARTICA,PARK AVE SOUTH,42.82785076,-78.83226789
ACER PLATANOIDES,PARK AVE SOUTH,42.82785435,-78.83040441
VACANT,PARK AVE SOUTH,42.8278597,-78.82757329
GINKGO BILOBA,PARK AVE SOUTH,42.82786008,-78.83360224
VACANT,PARK AVE SOUTH,42.8278607,-78.82757261
FAGUS SYLVATICA,PARK AVE SOUTH,42.82786539,-78.82784306
VACANT,PARK AVE SOUTH,42.82786621,-78.82973099
VACANT,PARK AVE SOUTH,42.82874226,-78.82726426
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82787899,-78.83276334
VACANT,PARK AVE SOUTH,42.827892,-78.82750307
ACER SPP,PARK AVE SOUTH,42.82789639,-78.82934129
MAGNOLIA SPP,PARK AVE SOUTH,42.82789759,-78.82426893
STUMP,PARK AVE SOUTH,42.8279117,-78.83186074
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82791656,-78.83286977
VACANT,PARK AVE SOUTH,42.82792648,-78.82973605
LIQUIDAMBAR STRYACIFLUA,PARK AVE SOUTH,42.82792979,-78.82921052
JUGLANS NIGRA,PARK AVE SOUTH,42.82793055,-78.83165132
ACER PLATANOIDES,PARK AVE SOUTH,42.82793587,-78.82999455
ACER PLATANOIDES,PARK AVE SOUTH,42.82795249,-78.8303773
ACER PLATANOIDES,PARK AVE SOUTH,42.82795366,-78.83021685
PINUS NIGRA,PARK AVE SOUTH,42.82795402,-78.82754441
QUERCUS MACROCARPA,PARK AVE SOUTH,42.82795967,-78.82943373
CRATAEGUS SPP,PARK AVE SOUTH,42.82799931,-78.82902901
ACER PLATANOIDES,PARK AVE SOUTH,42.828012,-78.83020102
JUGLANS NIGRA,PARK AVE SOUTH,42.82802771,-78.82895833
ACER PLATANOIDES,PARK AVE SOUTH,42.828031,-78.83036751
CARYA GLABRA,PARK AVE SOUTH,42.82803487,-78.82885381
VACANT,PARK AVE SOUTH,42.82804668,-78.82993855
VACANT,PARK AVE SOUTH,42.82804671,-78.82993749
JUGLANS NIGRA,PARK AVE SOUTH,42.82804704,-78.8289976
VACANT,PARK AVE SOUTH,42.82804713,-78.82717888
VACANT,PARK AVE SOUTH,42.82804736,-78.82717768
CATALPA SPECIOSA,PARK AVE SOUTH,42.82805553,-78.83306368
ACER PLATANOIDES,PARK AVE SOUTH,42.82805569,-78.83016034
ACER PLATANOIDES,PARK AVE SOUTH,42.82805917,-78.83002174
ACER PLATANOIDES,PARK AVE SOUTH,42.82806032,-78.83025676
VACANT,PARK AVE SOUTH,42.82808574,-78.83320308
CARYA CORDIFORMIS,PARK AVE SOUTH,42.82809694,-78.83236422
SALIX NIGRA,PARK AVE SOUTH,42.82810371,-78.82900140000001
ACER SACCHARINUM,PARK AVE SOUTH,42.82810944,-78.83013731
ACER PLATANOIDES,PARK AVE SOUTH,42.82811134,-78.83015035
VACANT,PARK AVE SOUTH,42.82811895,-78.82875108
STUMP,PARK AVE SOUTH,42.82812287,-78.82731109999999
UNKNOWN TREE,PARK AVE SOUTH,42.82812368,-78.82730965
PINUS NIGRA,PARK AVE SOUTH,42.82812528,-78.82753565
ACER NIGRUM,PARK AVE SOUTH,42.8281401,-78.82884278
OSTRYA VIRGINIANA,PARK AVE SOUTH,42.82814748,-78.82842863
ACER PLATANOIDES,PARK AVE SOUTH,42.82814942,-78.83030941
FRAXINUS PENNSYLVANICA,PARK AVE SOUTH,42.82815607,-78.8275854
ACER SACCHARINUM,PARK AVE SOUTH,42.82815986,-78.82995282
VACANT,PARK AVE SOUTH,42.82816038,-78.82756047
VACANT,PARK AVE SOUTH,42.82816156,-78.82755957
LIQUIDAMBAR STRYACIFLUA,PARK AVE SOUTH,42.82816268,-78.82913524
FAGUS SYLVATICA,PARK AVE SOUTH,42.828169,-78.82841280000001
ACER PLATANOIDES,PARK AVE SOUTH,42.82817778,-78.83024094
FRAXINUS PENNSYLVANICA,PARK AVE SOUTH,42.82817849,-78.82710578
QUERCUS RUBRA,PARK AVE SOUTH,42.82817859,-78.82731313
FRAXINUS PENNSYLVANICA,PARK AVE SOUTH,42.82818318,-78.82763898
PINUS NIGRA,PARK AVE SOUTH,42.82818404,-78.82720202
CRATAEGUS SPP,PARK AVE SOUTH,42.82818893,-78.8289512
CRATAEGUS SPP,PARK AVE SOUTH,42.82819184,-78.82705648
JUGLANS NIGRA,PARK AVE SOUTH,42.8281928,-78.82889889
JUGLANS NIGRA,PARK AVE SOUTH,42.82819449,-78.82898986
ACER PLATANOIDES,PARK AVE SOUTH,42.82819683,-78.83333855
MORUS ALBA,PARK AVE SOUTH,42.82819953,-78.82755782
CRATAEGUS SPP,PARK AVE SOUTH,42.82820678,-78.82894516
FAGUS SYLVATICA,PARK AVE SOUTH,42.82822349,-78.82844883
MAGNOLIA ACUMINATA,PARK AVE SOUTH,42.82822864,-78.82716562
ACER TATARICUM,PARK AVE SOUTH,42.82823417,-78.8317435
FRAXINUS PENNSYLVANICA,PARK AVE SOUTH,42.82823621,-78.82748203
FRAXINUS PENNSYLVANICA,PARK AVE SOUTH,42.82823782,-78.82740109
QUERCUS RUBRA,PARK AVE SOUTH,42.82824073,-78.82849581
CRATAEGUS SPP,PARK AVE SOUTH,42.82824086,-78.82861505
ACER TATARICUM,PARK AVE SOUTH,42.82824234,-78.83185832
CRATAEGUS SPP,PARK AVE SOUTH,42.82824421,-78.83336758
STUMP,PARK AVE SOUTH,42.8282665,-78.83036245
FRAXINUS PENNSYLVANICA,PARK AVE SOUTH,42.82826719,-78.82762282
STUMP,PARK AVE SOUTH,42.82827442,-78.83027779999999
VACANT,PARK AVE SOUTH,42.82827826,-78.82863146
MAGNOLIA STELLATA,PARK AVE SOUTH,42.82828013,-78.82416798
TILIA CORDATA,PARK AVE SOUTH,42.82828019,-78.82882084
CORNUS SPP,PARK AVE SOUTH,42.82828284,-78.82926226
VACANT,PARK AVE SOUTH,42.82828297,-78.82924196
ACER TATARICUM,PARK AVE SOUTH,42.82828327,-78.83157479
PINUS NIGRA,PARK AVE SOUTH,42.82828334,-78.82751642
CORNUS SPP,PARK AVE SOUTH,42.82828576,-78.82925935
LIRIODENDRON TULIPIFERA,PARK AVE SOUTH,42.82828736,-78.82741795
VACANT,PARK AVE SOUTH,42.82828866,-78.83168437
VACANT,PARK AVE SOUTH,42.82828989,-78.83168309999999
MAGNOLIA STELLATA,PARK AVE SOUTH,42.82829007,-78.82423886
MAGNOLIA ACUMINATA,PARK AVE SOUTH,42.82829148,-78.82716500000001
JUGLANS NIGRA,PARK AVE SOUTH,42.8282931,-78.82920842
CORNUS SPP,PARK AVE SOUTH,42.82829767,-78.82923553
QUERCUS RUBRA,PARK AVE SOUTH,42.82830031,-78.82976753
CARYA OVATA,PARK AVE SOUTH,42.82830079,-78.82867023
JUGLANS NIGRA,PARK AVE SOUTH,42.82830258,-78.82921424
PINUS NIGRA,PARK AVE SOUTH,42.82831021,-78.82754287
VACANT,PARK AVE SOUTH,42.82831533,-78.8287941
QUERCUS PALUSTRIS,PARK AVE SOUTH,42.82831578,-78.82980994
VACANT,PARK AVE SOUTH,42.82831631,-78.82879285
PINUS RESINOSA,PARK AVE SOUTH,42.82832658,-78.83331058
CATALPA SPECIOSA,PARK AVE SOUTH,42.82833478,-78.83349687
MAGNOLIA STELLATA,PARK AVE SOUTH,42.82833733,-78.82416591
GYMNOCLADUS DIOICUS,PARK AVE SOUTH,42.82833836,-78.83138066
QUERCUS MACROCARPA,PARK AVE SOUTH,42.82833902,-78.82967906
VACANT,PARK AVE SOUTH,42.82833964,-78.83151555
VACANT,PARK AVE SOUTH,42.82834046,-78.83151537
ACER PLATANOIDES,PARK AVE SOUTH,42.82835116,-78.82969843
MAGNOLIA ACUMINATA,PARK AVE SOUTH,42.82835279,-78.82946729
ACER SACCHARINUM,PARK AVE SOUTH,42.82835342,-78.83001096
