ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11938290,JC566594,2019-12-31 14:48:00,002XX W 103RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,True,511,5.0,9.0,49.0,08B,1176682.0,1836646.0,2019,01/07/2020 03:52:21 PM,41.707099379,-87.62859998799999,"(41.707099379, -87.628599988)"
11937429,JC566279,2019-12-31 09:50:00,024XX W 63RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,True,False,825,8.0,16.0,66.0,15,1161018.0,1862810.0,2019,01/07/2020 03:52:21 PM,41.779234929,-87.68524012,"(41.779234929, -87.68524012)"
11937756,JC566799,2019-12-31 16:55:00,079XX S WOOD ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,True,611,6.0,17.0,71.0,03,1165728.0,1852072.0,2019,01/07/2020 03:52:21 PM,41.749669689,-87.66827709399999,"(41.749669689, -87.668277094)"
11937470,JC566476,2019-12-31 12:55:00,009XX N TRUMBULL AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,RESIDENTIAL YARD (FRONT/BACK),True,False,1121,11.0,27.0,23.0,18,1153208.0,1905956.0,2019,01/07/2020 03:52:21 PM,41.89779089,-87.712729758,"(41.89779089, -87.712729758)"
11938322,JC566361,2019-12-31 06:45:00,005XX E 74TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,False,323,3.0,6.0,69.0,08B,1180951.0,1856063.0,2019,01/07/2020 03:52:21 PM,41.760284994,-87.61237142,"(41.760284994, -87.61237142)"
11937973,JC567011,2019-12-31 22:30:00,007XX N TRUMBULL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1121,11.0,27.0,23.0,14,1153249.0,1904633.0,2019,01/07/2020 03:52:21 PM,41.894159636,-87.712614324,"(41.894159636, -87.712614324)"
11937271,JC566051,2019-12-31 00:58:00,080XX S HOYNE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,611,6.0,18.0,71.0,08B,1163768.0,1851481.0,2019,01/07/2020 03:52:21 PM,41.748089246999996,-87.675475939,"(41.748089247, -87.675475939)"
11937947,JC566960,2019-12-31 20:10:00,067XX S CLYDE AVE,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,APARTMENT,True,True,331,3.0,5.0,43.0,04B,1191374.0,1860619.0,2019,01/07/2020 03:52:21 PM,41.772540956,-87.574024077,"(41.772540956, -87.574024077)"
11937221,JC566058,2019-12-31 01:00:00,008XX E 64TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,312,3.0,20.0,42.0,08B,1183197.0,1862762.0,2019,01/07/2020 03:52:21 PM,41.778615745,-87.60393165200001,"(41.778615745, -87.603931652)"
11938499,JD100565,2019-12-31 11:30:00,070XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,OTHER (SPECIFY),True,False,321,3.0,6.0,42.0,08B,1182773.0,1858454.0,2019,05/01/2020 03:48:05 PM,41.76680404,-87.60561968299999,"(41.76680404, -87.605619683)"
11937720,JC566552,2019-12-31 14:01:00,007XX E 92ND PL,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,633,6.0,9.0,44.0,04B,1182698.0,1843799.0,2019,06/05/2020 03:46:23 PM,41.726590874,-87.606348419,"(41.726590874, -87.606348419)"
11939792,JD102028,2019-12-31 20:00:00,002XX W 22ND PL,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL / MOTEL,False,False,914,9.0,25.0,34.0,02,1175079.0,1889496.0,2019,10/07/2020 03:48:33 PM,41.852161388,-87.63289369700001,"(41.852161388, -87.632893697)"
11937876,JC566853,2019-12-31 18:12:00,010XX W MARQUETTE RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,724,7.0,6.0,68.0,08B,1170356.0,1860384.0,2019,01/07/2020 03:52:21 PM,41.772379467,-87.651076593,"(41.772379467, -87.651076593)"
